output_id,institution,career_stage,stratum,group,os_score,os_score_ord
45,Inst3,PhD,Inst3_PhD,LDP,2,2
46,Inst3,PhD,Inst3_PhD,LDP,1,1
47,Inst3,PhD,Inst3_PhD,LDP,0,0
48,Inst3,PhD,Inst3_PhD,LDP,1,1
49,Inst3,MSc,Inst3_MSc,Other,0,0
50,Inst3,PhD,Inst3_PhD,Other,0,0
51,Inst3,PhD,Inst3_PhD,Other,1,1
52,Inst3,PhD,Inst3_PhD,Other,2,2
53,Inst3,PhD,Inst3_PhD,Other,1,1
54,Inst3,PhD,Inst3_PhD,Other,0,0
55,Inst3,PhD,Inst3_PhD,Other,1,1
56,Inst3,PhD,Inst3_PhD,Other,0,0
57,Inst4,MSc,Inst4_MSc,LDP,1,1
58,Inst4,MSc,Inst4_MSc,LDP,1,1
59,Inst4,MSc,Inst4_MSc,LDP,2,2
60,Inst4,MSc,Inst4_MSc,LDP,1,1
61,Inst4,MSc,Inst4_MSc,LDP,2,2
62,Inst4,MSc,Inst4_MSc,LDP,1,1
63,Inst4,MSc,Inst4_MSc,LDP,1,1
64,Inst4,PhD,Inst4_PhD,LDP,1,1
65,Inst4,PhD,Inst4_PhD,LDP,0,0
66,Inst4,PhD,Inst4_PhD,LDP,1,1
67,Inst4,MSc,Inst4_MSc,Other,0,0
68,Inst4,MSc,Inst4_MSc,Other,0,0
69,Inst4,MSc,Inst4_MSc,Other,1,1
70,Inst4,MSc,Inst4_MSc,Other,0,0
71,Inst4,MSc,Inst4_MSc,Other,1,1
72,Inst4,MSc,Inst4_MSc,Other,0,0
73,Inst4,MSc,Inst4_MSc,Other,0,0
74,Inst4,PhD,Inst4_PhD,Other,0,0
75,Inst4,PhD,Inst4_PhD,Other,0,0
76,Inst4,PhD,Inst4_PhD,Other,0,0
77,Inst5,MSc,Inst5_MSc,LDP,0,0
78,Inst5,MSc,Inst5_MSc,LDP,1,1
79,Inst5,MSc,Inst5_MSc,LDP,0,0
80,Inst5,MSc,Inst5_MSc,LDP,1,1
81,Inst5,MSc,Inst5_MSc,LDP,3,3
82,Inst5,MSc,Inst5_MSc,LDP,1,1
83,Inst5,PhD,Inst5_PhD,LDP,1,1
84,Inst5,PhD,Inst5_PhD,LDP,2,2
85,Inst5,PhD,Inst5_PhD,LDP,3,3
86,Inst5,PhD,Inst5_PhD,LDP,1,1
87,Inst5,MSc,Inst5_MSc,Other,0,0
88,Inst5,MSc,Inst5_MSc,Other,1,1
89,Inst5,MSc,Inst5_MSc,Other,1,1
90,Inst5,MSc,Inst5_MSc,Other,2,2
91,Inst5,MSc,Inst5_MSc,Other,4,4
92,Inst5,MSc,Inst5_MSc,Other,2,2
93,Inst5,PhD,Inst5_PhD,Other,1,1
94,Inst5,PhD,Inst5_PhD,Other,0,0
95,Inst5,PhD,Inst5_PhD,Other,0,0
96,Inst5,PhD,Inst5_PhD,Other,1,1
97,Inst6,MSc,Inst6_MSc,LDP,3,3
98,Inst6,MSc,Inst6_MSc,LDP,0,0
99,Inst6,MSc,Inst6_MSc,LDP,1,1
100,Inst6,MSc,Inst6_MSc,LDP,0,0
101,Inst6,MSc,Inst6_MSc,LDP,2,2
102,Inst6,MSc,Inst6_MSc,LDP,0,0
103,Inst6,PhD,Inst6_PhD,LDP,2,2
104,Inst6,PhD,Inst6_PhD,LDP,0,0
105,Inst6,PhD,Inst6_PhD,LDP,0,0
106,Inst6,PhD,Inst6_PhD,LDP,2,2
107,Inst6,MSc,Inst6_MSc,Other,1,1
108,Inst6,MSc,Inst6_MSc,Other,3,3
109,Inst6,MSc,Inst6_MSc,Other,0,0
110,Inst6,MSc,Inst6_MSc,Other,1,1
111,Inst6,MSc,Inst6_MSc,Other,0,0
112,Inst6,MSc,Inst6_MSc,Other,1,1
113,Inst6,PhD,Inst6_PhD,Other,1,1
114,Inst6,PhD,Inst6_PhD,Other,1,1
115,Inst6,PhD,Inst6_PhD,Other,3,3
116,Inst6,PhD,Inst6_PhD,Other,1,1
117,Inst7,MSc,Inst7_MSc,LDP,1,1
118,Inst7,MSc,Inst7_MSc,LDP,1,1
119,Inst7,MSc,Inst7_MSc,LDP,2,2
120,Inst7,MSc,Inst7_MSc,LDP,1,1
121,Inst7,MSc,Inst7_MSc,LDP,4,4
122,Inst7,MSc,Inst7_MSc,LDP,0,0
123,Inst7,PhD,Inst7_PhD,LDP,4,4
124,Inst7,PhD,Inst7_PhD,LDP,1,1
125,Inst7,MSc,Inst7_MSc,Other,1,1
126,Inst7,MSc,Inst7_MSc,Other,0,0
127,Inst7,MSc,Inst7_MSc,Other,1,1
128,Inst7,MSc,Inst7_MSc,Other,0,0
129,Inst7,MSc,Inst7_MSc,Other,0,0
130,Inst7,MSc,Inst7_MSc,Other,0,0
131,Inst7,PhD,Inst7_PhD,Other,1,1
132,Inst7,PhD,Inst7_PhD,Other,0,0
133,Inst8,MSc,Inst8_MSc,LDP,2,2
134,Inst8,MSc,Inst8_MSc,LDP,1,1
135,Inst8,MSc,Inst8_MSc,LDP,2,2
136,Inst8,MSc,Inst8_MSc,LDP,0,0
137,Inst8,MSc,Inst8_MSc,LDP,0,0
138,Inst8,MSc,Inst8_MSc,LDP,0,0
139,Inst8,PhD,Inst8_PhD,LDP,1,1
140,Inst8,PhD,Inst8_PhD,LDP,2,2
141,Inst8,MSc,Inst8_MSc,Other,0,0
142,Inst8,MSc,Inst8_MSc,Other,1,1
143,Inst8,MSc,Inst8_MSc,Other,0,0
144,Inst8,MSc,Inst8_MSc,Other,0,0
145,Inst8,MSc,Inst8_MSc,Other,1,1
146,Inst8,MSc,Inst8_MSc,Other,0,0
147,Inst8,PhD,Inst8_PhD,Other,1,1
148,Inst8,PhD,Inst8_PhD,Other,0,0
